"NOMBRE DE ALBUM UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO INSPIRACIÓN INSPIRACIÓN INSPIRACIÓN INSPIRACIÓN INSPIRACIÓN INSPIRACIÓN POR SUS LLAGAS POR SUS LLAGAS POR SUS LLAGAS","URL IMAGEN https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213851/por_sus_llagas_v2_zn6jqb.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213851/por_sus_llagas_v2_zn6jqb.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213851/por_sus_llagas_v2_zn6jqb.jpg","TÍTULO DE CANCIÓN EL SUEÑO DE JOSE EL SÍ DE MARÍA UNA TRAVESÍA TRANQUILA LA NOCHE ROTA EN UN HUMILDE PESEBRE MI OFRENDA REAL EMMANUEL CON AMOR ETERNO SALMO 1 CRUZANDO EL MAR DIOS ES AMOR EL ECO RESPONDIÓ EN LA CIMA CONTIGO AMOR INCOMPARABLE ERES JIREH LA ROCA QUE ME SOSTIENE","URL CANCIÓN https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357562/ggemhfn0tararn06ghxk.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357513/bm03vfa6jhy7kfevv8yn.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357613/zaewdj4uocvax3sud4c1.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357743/gnk8avqa1owspzv7bjlx.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357699/q0accmyiyvdeesolkpx0.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357850/gkbcwtl2bsefavkamsh0.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357891/xdw0lzbsj1hvbteair1v.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764633690/mcqvenfzber5iedq1osm.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764640939/faqs3uvmelm1g7ptoupk.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685514/iqctfam1szx1ng4vaakk.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685538/r9kyfzxutxciexbfu3up.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685562/ud1il56d3nfjrybo1qg1.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685586/cuyodioojtfxhoh3u3yd.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685613/ntugygokigqkjcjisrem.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761450/uhuyl9o2j7mn8tqmrotn.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761496/dtwrgbjgvy5fdsaggvub.mp3","Status Done Done Done Done Done Done done Done Done Done Done Done Done Done Done Done","YouTube ID qg9V2SbBQp4 8jNFdAtNPiE B4VEalHQ5Jw 7YEw6FEGGq0 41UdSFmrvJs HAfyQxY3h0A sen3q-Zu4gc xKp0Ltwhia0 NYaHX9gsfMk BpwUpCXH_DM NCIfr5Na3AA 8BHgsYmWNSA MxcJnlHpv4M K4HcfuL7Wxs ZkOFTupvrjc a9pMfIf83Fs","Playlist ID ",""
"POR SUS LLAGAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213851/por_sus_llagas_v2_zn6jqb.jpg","LA TIERRA TEMBLÓ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761523/xu3amwrjdwioqgcpqgob.mp3","done","YByaU50KXz4","","1"
"POR SUS LLAGAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213851/por_sus_llagas_v2_zn6jqb.jpg","NADA ME APARTARÁ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761555/qpo0ff8xscptfahlj3z9.mp3","Done","7w6u1STXplU","",""
"POR SUS LLAGAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213851/por_sus_llagas_v2_zn6jqb.jpg","REGRESA LA VIDA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761589/o8vd6h1j9xyhpfm7idd5.mp3","done","1EwxNhQQBpU","","1"
"POR SUS LLAGAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213851/por_sus_llagas_v2_zn6jqb.jpg","UN CAMINO EN EL MAR","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761619/yw3f63by284nunjerufg.mp3","Done","yOgyUIkgaJ8","",""
"POR SUS LLAGAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213851/por_sus_llagas_v2_zn6jqb.jpg","GRACIA SIN CONDICIÓN","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761884/n2vmlfodhixjo5oeajvf.mp3","Done","DucMkrpDf-I","",""
"VIENTOS NUEVOS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765359074/eli4wlrixa8rmfoka9bd.jpg","BONDAD INAGOTABLE","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761918/ff2eyes9sarp0p6jtgpz.mp3","Done","2OA_ozVO3TU","",""
"VIENTOS NUEVOS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765359074/eli4wlrixa8rmfoka9bd.jpg","MI ETERNA SALVACIÓN","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761942/ter1gn4egsfi0tn9dfwq.mp3","Done","X0WC6qHMXvo","",""
"VIENTOS NUEVOS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765359074/eli4wlrixa8rmfoka9bd.jpg","MI PASTOR Y MI REY","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761965/cm5j9nleoxttmu4afnf6.mp3","Done","ViickNb_Wr8","",""
"VIENTOS NUEVOS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765359074/eli4wlrixa8rmfoka9bd.jpg","OPORTUNO SOCORRO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761983/twmdbbwedd1djvyiy45v.mp3","Done","iiOWSBa-o1c","",""
"VIENTOS NUEVOS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765359074/eli4wlrixa8rmfoka9bd.jpg","MISERICORDIA ES LA RESPUESTA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764762054/iexg5joqmko6pcmgexy5.mp3","Done","sO5pwonyX6w","",""
"VIENTOS NUEVOS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765359074/eli4wlrixa8rmfoka9bd.jpg","EL REGRESO DEL HIJO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764762129/zz8hqg12co4pcp2jtlq5.mp3","Done","sUZHqv94_uY","",""
"VIENTOS NUEVOS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765359074/eli4wlrixa8rmfoka9bd.jpg","GOZO EN EL CIELO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764762187/psomq98hgixcvsgbibve.mp3","Done","","",""
"ROMPIENDO CADENAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360105/upyii0jbazuu6hfipret.jpg","GRACIA MAJESTUOSA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764781146/yxw6lxablm8qnmpdw3ah.mp3","Done","","",""
"ROMPIENDO CADENAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360105/upyii0jbazuu6hfipret.jpg","GRAN GOZO AL MUNDO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764802488/auzvagwswcy8dftesqyq.mp3","Done","","",""
"ROMPIENDO CADENAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360105/upyii0jbazuu6hfipret.jpg","REY DE CADA MAÑANA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764810275/cubosbjemuptwltlirip.mp3","Done","","",""
"ROMPIENDO CADENAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360105/upyii0jbazuu6hfipret.jpg","EN PAZ ME ACOSTARÉ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1764810305/txhzljn27mfyq2lpceqd.mp3","Done","","",""
